行政区|供应公告标题|公告类型|发布时间|相关链接|宗地编号|宗地总面积|宗地坐落|出让年限|容积率|建筑密度|绿化率|建筑限高|土地用途明细|投资强度|保证金|估价报告备案号|起始价|加价幅度|挂牌开始时间|挂牌截止时间|现状土地条件|交纳竞买保证金的截止时间|行政区|土地坐落|总面积|土地用途|供应方式|签订时间|相关链接|行政区|电子监管号|项目名称|项目位置|面积|土地来源|土地用途|供地方式|土地使用年限|行业分类|土地级别|成交价格|土地使用权人|下限|上限|约定交地时间|约定开工时间|约定竣工时间|实际开工时间|实际竣工时间|批准单位|合同签订日期
|||||||||||||||||||||||和龙市|和龙市新元河北路10-3-11号|3.505070|城镇住宅用地|协议出让|2019/6/6|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e65b435a-66ad-4030-ab82-52a3e4352109|和龙市|2224062019B00658|住宅|和龙市新元河北路10-3-11号|3.505070|0.002245|城镇住宅用地|协议出让|60.41|房地产业|二级|0.4432|李桂玉|||2019年06月06日|||||和龙市|2019年06月06日
台州市本级|台州市自然资源和规划局国有建设用地使用权挂牌出让公告(台土告字[2019]038号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8556&sitePath=|台土告字[2019]038号|42330平方米|黄岩区金带路东侧、复元东路北侧地块|40年|大于或等于1.3并且小于或等于1.3||||娱乐用地|0万元/公顷|3658万元||18290万元|10万元|2019年06月24日09时00分|2019年07月04日09时00分||2019年07月02日15时00分|||||||||||||||||||||||||||||
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-81|219平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|28万元||28万元|5万元|2019年06月21日08时30分|2019年07月03日10时50分||2019年07月01日16时00分|||||||||||||||||||||||||||||
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-74|5186平方米|水口乡水口村|70年|大于1并且小于1.1||||城镇住宅用地|0万元/公顷|166万元||816万元|5万元|2019年06月21日08时30分|2019年07月03日08时31分||2019年07月01日16时00分|||||||||||||||||||||||||||||
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-79|196平方米|泗安镇毛家村|40年|大于1.3并且小于1.4||||旅馆用地|0万元/公顷|26万元||26万元|5万元|2019年06月21日08时30分|2019年07月03日10时10分||2019年07月01日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||龙岩市本级|新罗区龙门镇紫金山体育公园北部|0.640800|教育用地|拍卖出让|2019/6/5|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1bc3b5aa-fa71-405c-96ff-256d6d432676|龙岩市本级|3508002019B00550|2019拍-1（紫金山体育公园D03出让地块）|新罗区龙门镇紫金山体育公园北部|0.640800|0.000000|教育用地|拍卖出让|50|教育业|五级|1442.0000|龙岩紫金山体育场馆建设有限公司|0.80|0.90|2020年08月05日|2021年06月05日|2024年06月05日|||龙岩市|2019年06月05日
|||||||||||||||||||||||成都市本级|锦江区三圣街道驸马村二组、曾家坡村五组、粉坊堰村二组|2.000002|其他商服用地|挂牌出让|2019/6/4|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=67c43a7e-010a-40da-916a-c59c2e3c0511|成都市本级|5101002019B00945|锦江区三圣街道页马村二组、曾家坡村五组、粉坊堰村二组国际学校|锦江区三圣街道页马村二组、曾家坡村五组、粉坊堰村二组|2.000002|0.000000|其他商服用地|挂牌出让|40|教育业|一级|10473.6087|成都城投教育投资管理集团有限公司||2.00|2019年07月11日|2020年07月11日|2022年07月11日|||成都市|2019年06月04日
长兴县|长兴县自然资源和规划局国有建设用地使用权挂牌出让公告(长土挂告字[2019]11号)|挂牌|2019/5/31|http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=20aae8dc-4a0c-4af5-aedf-cc153eb6efdf&recorderguid=JYXT_ZJGG_8550&sitePath=|2019-76|5219平方米|龙山街道川步村|40年|大于1.3并且小于1.35||||餐饮用地|0万元/公顷|141万元||705万元|5万元|2019年06月21日08时30分|2019年07月03日09时10分||2019年07月01日16时00分|||||||||||||||||||||||||||||
|||||||||||||||||||||||歙县|开发区城西园区（原循环园）|1.006628|工业用地|挂牌出让|2019/6/4|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e9578848-9b79-4d74-9695-202f389dab0c|歙县|3410212019B00321|汉合智能设备|开发区城西园区（原循环园）|1.006628|0.000000|工业用地|挂牌出让|50|专用设备制造业|四级|147.9743|黄山汉合智能设备有限公司|1.00|1.20|2019年06月30日|2019年12月30日|2020年12月30日|||歙县|2019年06月04日
|||||||||||||||||||||||成都市本级|成华区二仙桥街道二仙片区1号项目B地块|5.825743|商务金融用地|挂牌出让|2019/6/4|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5eceffbf-5ae6-4164-aea2-9669c060ccf5|成都市本级|5101002019B00958|成华区二仙桥片区1号项目B地块挂牌商业项目|成华区二仙桥街道二仙片区1号项目B地块|5.825743|5.825743|商务金融用地|挂牌出让|40|房地产业|一级|62382.4336|成都华晟投资有限公司||3.50|2019年07月11日|2020年07月11日|2022年01月11日|||成都市|2019年06月04日
