行政区|土地坐落|总面积|土地用途|供应方式|签订时间|相关链接|行政区|电子监管号|项目名称|项目位置|面积|土地来源|土地用途|供地方式|土地使用年限|行业分类|土地级别|成交价格|土地使用权人|下限|上限|约定交地时间|约定开工时间|约定竣工时间|实际开工时间|实际竣工时间|批准单位|合同签订日期
清新县|清远市清新区禾云镇广州花都（清新）产业转移工业园|6.000000|工业用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b32a8e9f-234a-4926-8808-9453382720d9|清新县|4418272019B00376|清远市德拉尼家居有限公司|清远市清新区禾云镇广州花都（清新）产业转移工业园|6.000000|0.000000|工业用地|挂牌出让|50|家具制造业|十一级|1668.0000|清远市德拉尼家居有限公司|0.80|2.50|2019年07月21日|2020年07月21日|2022年01月21日|||清远市清新区|2019年06月01日
上街区|金华路东侧、许昌路南侧|4.500629|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0817598b-2e69-4ba4-a316-7df67be94521|上街区|4101062019B00090|河南志强置业有限公司|金华路东侧、许昌路南侧|4.500629|0.000000|城镇住宅用地|挂牌出让|70|房地产业|二级|15659.0000|河南志强置业有限公司|1.00|2.50|2019年08月30日|2020年05月31日|2021年11月30日|||郑州市上街区|2019年06月01日
150团|150团17连|0.415800|机场用地|划拨|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0cbefa69-d6e7-4443-b07a-c10308707dca|150团|6608162019A00034|新疆天山雄鹰通用航空有限公司航材库建设项目|150团17连|0.415800|0.415800|机场用地|划拨||航空运输业|一级|3.3264||1.00||2019年06月01日|2019年06月10日|2019年09月30日|||第八师国土资源局|2019年06月01日
宜宾市本级|叙州区南部新区（北区）BQ16-03地块|6.016300|城镇住宅用地|划拨|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1357096b-01d9-417b-9928-9381eac0ac91|宜宾市本级|5115002019A00305|檬子湾二期金象花园安置房|叙州区南部新区（北区）BQ16-03地块|6.016300|6.016300|城镇住宅用地|划拨||公共设施管理业|九级|2707.3350||1.00|3.50|2020年05月05日|2020年05月20日|2023年05月20日|||宜宾市人民政府|2019年06月01日
莎车县|315国道北侧与兰干路交界|0.330000|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1c229b33-164d-4927-9027-4bd3045e2d2c|莎车县|6531252019B00345|棚改安置房项目|315国道北侧与兰干路交界|0.330000|0.330000|城镇住宅用地|挂牌出让|70|房地产业|二级|173.2500|莎车县城建房地产开发有限公司|1.00|1.50|2019年06月10日|2019年08月01日|2021年09月30日|||莎车县|2019年06月01日
莎车县|泰和城小区西侧|6.060000|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2881e352-1b38-44db-9666-6a4d70e6b356|莎车县|6531252019B00284|商住用地|泰和城小区西侧|6.060000|6.060000|城镇住宅用地|挂牌出让|城镇住宅用地70年; 其他商服用地40年;|电信和其他信息传输服务业|二级|2757.3000|莎车县城建房地产开发有限公司|1.00|1.50|2019年06月10日|2019年09月26日|2021年09月30日|||莎车县|2019年06月01日
平定县|锁簧镇西白岸村|0.279100|工业用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=4d044117-0fdd-4d59-9633-ed01556be145|平定县|1403212019B00069|绿色农业产品加工销售项目|锁簧镇西白岸村|0.279100|0.000000|工业用地|挂牌出让|50|农副食品加工业|四级|96.0000|山西四通祥农业科技股份有限公司|0.50||2019年07月09日|2019年08月18日|2020年08月18日|||平定县|2019年06月01日
海城市|海城市八里镇|3.857700|医疗卫生用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=54500b36-c868-4409-9ebb-db2c1e004d44|海城市|2103812019B00308|医院|海城市八里镇|3.857700|0.000000|医疗卫生用地|挂牌出让|50|卫生|五级|1698.0000|董长忠|0.50|1.00|2019年09月03日|2019年09月03日|2021年09月03日|||海城市|2019年06月01日
莎车县|315国道与和平路十字东北角|0.850000|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=57e556d0-72c5-4966-a20d-b0931a67c619|莎车县|6531252019B00307|商住用地|315国道与和平路十字东北角|0.850000|0.850000|城镇住宅用地|挂牌出让|70|房地产业|二级|446.2500|莎车县城建房地产开发有限公司|1.00|1.50|2019年06月10日|2019年09月20日|2021年09月25日|||莎车县|2019年06月01日
莎车县| 泰和城小区西侧|5.200000|城镇住宅用地|挂牌出让|2019/6/1|http://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5af0f3ec-d33c-4520-9fd0-71da47e53319|莎车县|6531252019B00295|商住用地|泰和城小区西侧|5.200000|5.200000|城镇住宅用地|挂牌出让|其他商服用地40年; 城镇住宅用地70年;|房地产业|二级|2366.0000|莎车县城建房地产开发有限公司|1.00|1.50|2019年06月10日|2019年09月01日|2021年09月20日|||莎车县|2019年06月01日
